3.020782051448e+06	2.233892188084e+11	-8.213838502603e+07	5.226530830398e+10	1.027670840561e-01
3.062443868600e+06	1.883599892142e+11	-6.316657349284e+07	5.172423760605e+10	1.093129654563e-01
3.104680274379e+06	1.579318825996e+11	-7.484490346247e+07	5.178838309650e+10	1.170779780875e-01
3.147499193356e+06	1.324479355518e+11	-8.568403122774e+07	5.187202864090e+10	1.259401173690e-01
3.190908659397e+06	1.111112086583e+11	-9.937529785143e+07	5.206663994646e+10	1.358941467287e-01
3.234916817170e+06	9.314300211064e+10	-1.152589893413e+08	5.240278676916e+10	1.471976474864e-01
3.279531923671e+06	7.795232064248e+10	-1.339932725739e+08	5.291554803041e+10	1.602178044043e-01
3.324762349773e+06	6.508182615864e+10	-1.561342072384e+08	5.361634891447e+10	1.753272650645e-01
3.370616581801e+06	5.422767044277e+10	-1.822720205577e+08	5.446821827079e+10	1.925896614755e-01
3.417103223117e+06	4.519117657352e+10	-2.126941752551e+08	5.537712092036e+10	2.114730550723e-01
3.464230995743e+06	3.780279952691e+10	-2.472004290287e+08	5.622071166858e+10	2.308985129999e-01
3.512008741989e+06	3.186961684034e+10	-2.850370225713e+08	5.689303145184e+10	2.496313045095e-01
3.560445426117e+06	2.716337745527e+10	-3.250852849441e+08	5.733864877588e+10	2.667357722005e-01
3.609550136023e+06	2.344487171500e+10	-3.661632558556e+08	5.755423067792e+10	2.817652924006e-01
3.659332084938e+06	2.049498710218e+10	-4.072606646926e+08	5.756851903741e+10	2.946786302736e-01
3.709800613162e+06	1.813230821705e+10	-4.476321788100e+08	5.742134877918e+10	3.056621673797e-01
3.760965189814e+06	1.621587448307e+10	-4.867860547319e+08	5.715103898857e+10	3.149867276757e-01
3.812835414605e+06	1.463983714075e+10	-5.244293858363e+08	5.678950227636e+10	3.229275642595e-01
3.865421019647e+06	1.332581863661e+10	-5.604110062092e+08	5.636160101273e+10	3.297303532306e-01
3.918731871273e+06	1.221587431710e+10	-5.946732370354e+08	5.588608759292e+10	3.356017622856e-01
3.972777971888e+06	1.126696165335e+10	-6.272174126376e+08	5.537678337169e+10	3.407109097421e-01
4.027569461851e+06	1.044677870532e+10	-6.580819321110e+08	5.484399090644e+10	3.451947630228e-01
4.083116621372e+06	9.730815354971e+09	-6.873251097948e+08	5.429523057097e+10	3.491638559907e-01
4.139429872442e+06	9.100256757757e+09	-7.150174238839e+08	5.373612725639e+10	3.527076704199e-01
4.196519780791e+06	8.540457165208e+09	-7.412336212463e+08	5.317081928786e+10	3.558989685560e-01
4.254397057869e+06	8.039912198868e+09	-7.660499846803e+08	5.260243872203e+10	3.587972629628e-01
4.313072562854e+06	7.589447517536e+09	-7.895417521960e+08	5.203327017906e+10	3.614515639246e-01
4.372557304692e+06	7.181698735380e+09	-8.117808426454e+08	5.146510879078e+10	3.639024682406e-01
4.432862444161e+06	6.810671851591e+09	-8.328372358010e+08	5.089920729876e+10	3.661838049995e-01
4.493999295965e+06	6.471452018482e+09	-8.527755667954e+08	5.033659019216e+10	3.683239275972e-01
4.555979330857e+06	6.159978750502e+09	-8.716581323312e+08	4.977797160698e+10	3.703466744073e-01
4.618814177794e+06	5.872848754686e+09	-8.895434135397e+08	4.922388660797e+10	3.722721991341e-01
4.682515626114e+06	5.607218417709e+09	-9.064847526111e+08	4.867476627209e+10	3.741175444973e-01
4.747095627751e+06	5.360669708261e+09	-9.225341893712e+08	4.813085510105e+10	3.758971835439e-01
4.812566299478e+06	5.131138772279e+09	-9.377394846124e+08	4.759236944429e+10	3.776234072422e-01
4.878939925178e+06	4.916866666842e+09	-9.521446117534e+08	4.705946025290e+10	3.793066343100e-01
4.946228958150e+06	4.716325988414e+09	-9.657926172423e+08	4.653216896806e+10	3.809557121652e-01
5.014446023445e+06	4.528192247748e+09	-9.787228970491e+08	4.601055006743e+10	3.825781212274e-01
5.083603920239e+06	4.351318754404e+09	-9.909714702211e+08	4.549462813252e+10	3.841801559926e-01
5.153715624226e+06	4.184693844982e+09	-1.002574197838e+09	4.498435469978e+10	3.857671026113e-01
5.224794290060e+06	4.027425215716e+09	-1.013564173637e+09	4.447969793622e+10	3.873433585773e-01
5.296853253820e+06	3.878732951994e+09	-1.023971033328e+09	4.398062058787e+10	3.889125408603e-01
5.369906035512e+06	3.737920191973e+09	-1.033824619122e+09	4.348705021514e+10	3.904776037766e-01
5.443966341607e+06	3.604362163685e+09	-1.043153157081e+09	4.299889847619e+10	3.920409104211e-01
5.519048067612e+06	3.477506936222e+09	-1.051982043668e+09	4.251609809911e+10	3.936043032990e-01
5.595165300677e+06	3.356858990218e+09	-1.060335452307e+09	4.203857888088e+10	3.951691812443e-01
5.672332322238e+06	3.241968864166e+09	-1.068237825181e+09	4.156622763892e+10	3.967365515142e-01
5.750563610696e+06	3.132430621314e+09	-1.075711592724e+09	4.109895936930e+10	3.983070769541e-01
5.829873844137e+06	3.027882057749e+09	-1.082776943924e+09	4.063668890728e+10	3.998811191758e-01
5.910277903079e+06	2.927991930893e+09	-1.089454055891e+09	4.017933265123e+10	4.014587895675e-01
5.991790873271e+06	2.832456039214e+09	-1.095763109440e+09	3.972677527849e+10	4.030399746363e-01
6.074428048522e+06	2.740998492689e+09	-1.101722412365e+09	3.927893283389e+10	4.046243660868e-01
6.158204933564e+06	2.653370016734e+09	-1.107348589241e+09	3.883571887070e+10	4.062114918837e-01
6.243137246972e+06	2.569340317616e+09	-1.112658492869e+09	3.839704819030e+10	4.078007469225e-01
